S032895:0,1,0,23.0,0.0,6.5,0,0,5067.0,0,1.0,0,5.0,0,0,0.072005,0.030687,0.072005,0.02429
S015156:2,8,209.0,207.125,34.4290484185,6.5,0,0.0,0.0,0.5,1.625,6.5,12.625,0.15021,0.209251,0.437411,0.317029,0.437411,0.287246
S092330:3,7,81.0,181.285714286,184.313176248,7.13796363636,0.0468290225754,0.0,0.0,0.666666666667,0.571428571429,0.333333333333,3.28571428571,0.287974,0.19601,1.575562,1.402547,1.572533,1.402547
S084227:1,8,3.0,23.125,26.2651741856,3.86022835045,0.0687138277722,0.0,3232.25,0.0,0.625,0.0,0.625,0.013245,0.009612,0.216176,0.156328,0.154456,0.142097
S028163:2,3,12.5,19.3333333333,12.2565175406,5.50252816167,2.284719808,0.0,0.0,0.0,0.0,0.0,1.0,0.145121,0.082854,0.12071,0.04695,0.12071,0.04695
S031375:2,8,153.0,189.5,77.5741580683,6.92502288591,0.0895323877811,8919.0,7759.375,3.5,2.625,9.5,12.375,0.376285,0.179002,0.533068,0.358506,0.49968,0.275714
S071917:2,8,504.0,374.875,61.5618337527,7.80303610821,0.00960101716166,0.0,0.0,1.0,1.0,19.5,20.125,0.25044,0.278292,0.604296,0.408863,0.45228,0.369173
S014834:2,8,257.5,209.75,105.894700056,6.5,0,0.0,0.0,0.0,1.5,11.0,9.375,0.335709,0.316541,0.54265,0.421848,0.54265,0.351236
S034806:2,8,204.0,198.125,18.0999827348,6.5,0,0.0,0.0,0.0,0.75,6.5,10.625,0.986703,0.425794,1.004935,0.74728,1.004935,0.737822
S014605:1,8,273.0,205.125,34.093391955,6.85569864928,0.0471424066478,4361.0,2438.625,1.0,1.75,10.0,13.375,0.418024,0.120801,0.368305,0.374252,0.339184,0.328578
S018514:2,8,25.0,147.25,73.2423204165,7.7,9.31529385335e-16,0.0,0.0,0.0,2.25,2.5,12.625,0.22863,0.21516,0.346498,0.334464,0.339794,0.237174
S014808:1,7,282.0,244.285714286,68.493407995,6.58465578302,0.0266399267601,7501.0,7418.85714286,2.0,2.0,5.0,9.42857142857,0.37783,0.11219,0.499772,0.283397,0.481496,0.219286
S061205:1,8,49.0,157.25,56.3510203989,3.33241590214,0.0478023813394,0.0,6651.375,2.0,8.75,4.0,5.875,0.128961,0.106618,0.210875,0.202058,0.18138,0.182349
S030207:1,2,14.0,48.0,11.0,9.85168662054,2.22372937316,0.0,0.0,0.0,0.5,1.0,1.0,0.040931,0.082332,0.296553,0.075939,0.296553,0.075939
S064255:0,7,0,10.0,7.70899289328,6.5,0,0,641.857142857,0,0.285714285714,0,1.85714285714,0,0,0.035394,0.06673,0.03531,0.066513
